code,product_name,ingredients_text
3014230002601,Sig tp hln pure 75ml,"Aqua, Hydrogenated Starch Hydrolysate, Hydrated Silica, Zinc Citrate, Sodium Lauryl Sulfate, Aroma, Cellulose Gum, Sodium Fluoride, Sodium Saccharin, Mentha Arvensis Leaf Oil, Mentha Piperita Oil, Mentha Spicata Flower/Leaf/Stem Oil, CI 42051."
8710522417379,Sig tp ne charb 75ml,"Aqua, Hydrogenated Starch Hydrolysate, Hydrated Silica, Zinc Citrate, Sodium Lauryl Sulfate, Aroma, Cellulose Gum, Charcoal Powder, Sodium Fluoride, Mentha Arvensis Leaf Oil, Sodium Saccharin, Mentha Piperita Oil."
307660746508,Antacid,"Drug Facts Active ingredient Purpose (per tablet) Calcium Carbonate USP 1000mg Antacid Uses relieves • heartburn • acid indigestion • sour stomach • upset stomach associated with these symptoms Warnings Ask a doctor or pharmacist before use if you are presently taking a prescription drug Antacids may interact with certain prescription drugs When using this product • do not take more than 7 tablets in 24 hours • if pregnant do not take more than 5 tablets in 24 hours • do not use the maximum dosage for more than 2 weeks except under the advice and supervision of a doctor Keep out of reach of children Directions • adults and children 12 years of age and over: chew 2-3 tablets as symptoms occur, or as directed ov a doctor • do not take for symptoms that persist for more than 2 weeks unless advised by a doctor Other information • each tablet contains: elemental calcium 400mg, sodium 2mg • store below 30°C (86°F) Inactive  adipic acid, corn starch, FD, C blue #1 lake, FD, C red #40 lake, flavors, mineral oil, sodium polyphosphate, sucrose, talc Questions? Safety sealed - Do not use if printed inner 1-800-897-7535 seal beneath cap is missing or broken, weekdays Gluten-Free GSK Consumer Healthcare 0766-0746-50 8 Warren, NJ 07059 ©2014 103588XB GSK or its licensor CWA EXP 2027/JUL"
812154030396,Native Deoderant - Powder and Cotton,"caprylic/capric triglyceride, tapioca starch, ozokerite, sodium bicarbonate, magnesium hydroxide, cocos nucifera (coconut) oil, cyclodextrin, butyrospermum parkii (shea) butter, fragrance, dextrose, lactobacillus acidophilus, cananga odorata flower powder"
5397256349409,Primark Red Lipstick,"PARAFFIN, ETHYLHEXYL PALMITATE, ISODODECANE, CYCLOPENTASILOXANE, PARAFFINUM LIQUIDUM (MINERAL OIL), POLYISOBUTENE, CYCLOHEXASILOXANE, CERA MICROCRISTALCINA (MICROCRYSTALLINE WAX), CERA ALBA (BEESWAX), SILICA DIMETHYL SILYLATE, PARFUM (FRAGRANCE), GLYCOL MONTANATE, HYDROGENATED STYRENE/ISOPRENE COPOLYMER, COPERNICIA CERIFERA (CARNAUBA) WAX, PHENOXYETHANOL, TOCOPHERYL ACETATE, BENZYL ALCOHOL. (+/-) MAY CONTAIN: CI 15850 (RED 6/ RED 6 LAKE/ RED 7 LAKE), CI 15985 (YELLOW 6 LAKE), CI 16035 (RED 40 LAKE), CI 19140 (YELLOW 5 LAKE), CI 42090 (BLUE 1 LAKE), CI 45410 (RED 27 LAKE/ RED 28 LAKE), CI 77491 / CI 77492 / CI 77499 (IRON OXIDES), CI 77742 (MANGANESE VIOLET), CI 77853 TAMUM 3"
8710447445945,Msv gd 300ml amande,"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Carbomer, Parfum, Sodium Benzoate, Citric Acid, Glycol Distearate, Sodium Lactate, Polyquaternium-7, Glycol Stearate, Tetrasodium EDTA, Sine Adipe Lac, Benzyl Benzoate, Coumarin, Linalool."
8712561534918,REXONA MEN Déodorant Homme Spray Anti-Transpirant Invisible Black + White 200ml,"Butane, Isobutane, Propane, Cyclopentasiloxane, PPG-14 Butyl Ether, Aluminum Chlorohydrate, Parfum, Disteardimonium Hectorite, Octyldodecanol, BHT, Propylene Carbonate, Helianthus Annuus Seed Oil, Dimethiconol, Caprylic/Capric Triglyceride, Sodium Starch Octenylsuccinate, Tocopheryl Acetate, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Salicylate, Limonene, Linalool."
3245678132005,Liquide vaisselle peaux sensibles,"Moins de 5 %: agents de surface anioniques, agents de surface amphotères, agents de surface non ioniques. Également: Acide L-(+)- lactique (conservateur), parfums."
8711700550963,Signal bdb antiplaq 500ml,"Aqua, Hydrogenated Starch Hydrolysate, PEG-40 Hydrogenated Castor Oil, Potassium Citrate, Glycine, Benzyl Alcohol, Phenoxyethanol, Sodium Lauryl Sulfate, Aroma, Zinc Sulfate, Sodium Fluoride, Sodium Saccharin, Limonene, CI 42051."
3596710533886,"Papier toilette blanc, 2 plis, maxi",100% ouate de pure cellulose
